link_to_book/_text,cover_image/_alt,link_to_book,link_to_book/_title,cover_image
Mi primer libro del espacio (Kids),Detalles del producto,http://www.amazon.es/primer-libro-del-espacio-Kids/dp/8468309613/ref=sr_1_45/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-45,Mi primer libro del espacio (Kids),http://ecx.images-amazon.com/images/I/511vGWmEP7L._AA200_.jpg
Caixa regal ALFRED & AGATHA,Detalles del producto,http://www.amazon.es/Caixa-regal-ALFRED-AGATHA-Campoy/dp/8468319449/ref=sr_1_46/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-46,Caixa regal ALFRED & AGATHA,http://ecx.images-amazon.com/images/I/51YTd8duxNL._AA200_.jpg
Vols ser el nòvio de la meva germana? (TUCAN VERMELL),Detalles del producto,http://www.amazon.es/Vols-n%C3%B2vio-germana-TUCAN-VERMELL/dp/8423681831/ref=sr_1_47/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-47,Vols ser el nòvio de la meva germana? (TUCAN VERMELL),http://ecx.images-amazon.com/images/I/51dIlK7jtLL._AA200_.jpg
Quatre amics i mig en... El cas del cocodril a Internet,Detalles del producto,http://www.amazon.es/Quatre-amics-mig-cocodril-Internet/dp/8423672026/ref=sr_1_48/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-48,Quatre amics i mig en... El cas del cocodril a Internet,http://ecx.images-amazon.com/images/I/51tMIhJHFeL._AA200_.jpg
El cas de la festa de fi de curs (QUATRE AMICS I MIG),Detalles del producto,http://www.amazon.es/cas-festa-curs-QUATRE-AMICS/dp/8423678636/ref=sr_1_49/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-49,El cas de la festa de fi de curs (QUATRE AMICS I MIG),http://ecx.images-amazon.com/images/I/51wOIp01JXL._AA200_.jpg
Quatre amics i mig en... El cas de la professora desapareguda,Detalles del producto,http://www.amazon.es/Quatre-amics-mig-professora-desapareguda/dp/8423660206/ref=sr_1_50/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-50,Quatre amics i mig en... El cas de la professora desapareguda,http://ecx.images-amazon.com/images/I/51HN5sJq%2BuL._AA200_.jpg
La Nit Que Vaig Tenir Un Monstre Tancat a L'Armari (TUCAN TARONJA),Detalles del producto,http://www.amazon.es/Tenir-Monstre-Tancat-LArmari-TARONJA/dp/8423688666/ref=sr_1_51/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-51,La Nit Que Vaig Tenir Un Monstre Tancat a L'Armari (TUCAN TARONJA),http://ecx.images-amazon.com/images/I/51XV-iRWSfL._AA200_.jpg
EL MUNDIAL DE FÚTBOL MÁS RARO DEL MUNDO (Tucán verde),Detalles del producto,http://www.amazon.es/MUNDIAL-F%C3%9ATBOL-MUNDO-Tuc%C3%A1n-verde/dp/846830168X/ref=sr_1_52/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-52,EL MUNDIAL DE FÚTBOL MÁS RARO DEL MUNDO (Tucán verde),http://ecx.images-amazon.com/images/I/51XkOhlOcwL._AA200_.jpg
La casa del pánico (Tucán verde),Detalles del producto,http://www.amazon.es/casa-del-p%C3%A1nico-Tuc%C3%A1n-verde/dp/8423677095/ref=sr_1_53/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-53,La casa del pánico (Tucán verde),http://ecx.images-amazon.com/images/I/51gCw7fR20L._AA200_.jpg
"Ui, quina por! (TUCAN BLAU)",Detalles del producto,http://www.amazon.es/Ui-quina-por-TUCAN-BLAU/dp/8423677222/ref=sr_1_54/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-54,"Ui, quina por! (TUCAN BLAU)",http://ecx.images-amazon.com/images/I/51UJpvfbWUL._AA200_.jpg
Doctor Rus (TUCÁN VERDE),Detalles del producto,http://www.amazon.es/Doctor-TUC%C3%81N-Gloria-S%C3%A1nchez-Garc%C3%ADa/dp/8423679284/ref=sr_1_55/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-55,Doctor Rus (TUCÁN VERDE),http://ecx.images-amazon.com/images/I/51xSxVXEVQL._AA200_.jpg
En Maurici Serrel Suat (Tucà blau),Detalles del producto,http://www.amazon.es/Maurici-Serrel-Suat-Tuc%C3%A0-blau/dp/8423677206/ref=sr_1_56/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-56,En Maurici Serrel Suat (Tucà blau),http://ecx.images-amazon.com/images/I/51PwK2721EL._AA200_.jpg
El Cas de La Mómia Desapareguda (ELS CASOS DE L'INSPECTOR SITO I EL SEU AJUDANT MAI TINC-PO),Detalles del producto,http://www.amazon.es/M%C3%B3mia-Desapareguda-LINSPECTOR-AJUDANT-TINC-PO/dp/8423686825/ref=sr_1_57/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-57,El Cas de La Mómia Desapareguda (ELS CASOS DE L'INSPECTOR SITO I EL SEU AJUDANT MAI TINC-PO),http://ecx.images-amazon.com/images/I/61NlIMJmMLL._AA200_.jpg
UN CAMALEÓN EN LA ESCUELA DE LOS GATOS (Tren azul: Mis cuentos favoritos),Detalles del producto,http://www.amazon.es/CAMALE%C3%93N-ESCUELA-GATOS-Tren-azul/dp/8468300128/ref=sr_1_58/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-58,UN CAMALEÓN EN LA ESCUELA DE LOS GATOS (Tren azul: Mis cuentos favoritos),http://ecx.images-amazon.com/images/I/51Y6YoiU2ZL._AA200_.jpg
UN AYUDANTE DE MUCHA AYUDA (LOS CASOS DEL INSPECTOR CITO Y SU AYUDANTE CHIN MI EDO),Detalles del producto,http://www.amazon.es/AYUDANTE-MUCHA-AYUDA-CASOS-INSPECTOR/dp/8423686795/ref=sr_1_59/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-59,UN AYUDANTE DE MUCHA AYUDA (LOS CASOS DEL INSPECTOR CITO Y SU AYUDANTE CHIN MI EDO),http://ecx.images-amazon.com/images/I/51TGLzIhV0L._AA200_.jpg
"ME, MUM & MISTERY 2. En busca del hombre desaparecido",Detalles del producto,http://www.amazon.es/MUM-MISTERY-busca-hombre-desaparecido/dp/8468312266/ref=sr_1_60/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-60,"ME, MUM & MISTERY 2. En busca del hombre desaparecido",http://ecx.images-amazon.com/images/I/61-taObyjXL._AA200_.jpg
"ME, MUM & MISTERY 2. A la recerca de l'home desaparegut",Detalles del producto,http://www.amazon.es/MUM-MISTERY-recerca-lhome-desaparegut/dp/8468312827/ref=sr_1_61/278-6311195-3955114?s=books&ie=UTF8&qid=1422595724&sr=1-61,"ME, MUM & MISTERY 2. A la recerca de l'home desaparegut",http://ecx.images-amazon.com/images/I/61QSEY7K4XL._AA200_.jpg
