pub_date,link_to_book/_text,link_to_book,author,publisher
22/02/2012,La Charade des Animaux,http://www.decitre.fr/livres/la-charade-des-animaux-9782889081165.html,"Alice Vieira, Madalena Matoso",La joie de lire
22/02/2012,Zékéyé et le singe de Cocodi,http://www.decitre.fr/livres/zekeye-et-le-singe-de-cocodi-9782012264700.html,Nathalie Dieterlé,Hachette Jeunesse
22/02/2012,Foot 2 Rue Tome 18 Peur de se perdre,http://www.decitre.fr/livres/foot-2-rue-tome-18-peur-de-se-perdre-9782302019881.html,"Philippe Cardona, Mathieu Mariolle",Soleil Productions
22/02/2012,La vie surprenante des bébés animaux familiers,http://www.decitre.fr/livres/la-vie-surprenante-des-bebes-animaux-familiers-9782745954343.html,Emmanuelle Figueras,Milan (Editions)
22/02/2012,Les dinosaures et autres animaux préhistoriques,http://www.decitre.fr/livres/les-dinosaures-et-autres-animaux-prehistoriques-9782745955159.html,Jean-Baptiste de Panafieu,Milan (Editions)
22/02/2012,Super Zazou et la baby-sitter,http://www.decitre.fr/livres/super-zazou-et-la-baby-sitter-9782700238624.html,"Marc Cantin, Isabel Cantin",Rageot
22/02/2012,Toy story 1 avec 1 CD audio,http://www.decitre.fr/livres/toy-story-1-9782014640472.html,Disney,Hachette Jeunesse
22/02/2012,Les Garnimos Tome 3 Chaud effroi,http://www.decitre.fr/livres/les-garnimos-tome-3-chaud-effroi-9782302020177.html,Dav,Soleil Productions
22/02/2012,La Dame à la licorne,http://www.decitre.fr/livres/la-dame-a-la-licorne-9782358320924.html,Elisabeth de Lambilly,Palette (éditions)
22/02/2012,Les migrations animales. Etonnants voyages,http://www.decitre.fr/livres/les-migrations-animales-9782745954305.html,Dwight Holing,Milan (Editions)
22/02/2012,Le Nuit du prince grenouille,http://www.decitre.fr/livres/le-nuit-du-prince-grenouille-9782745956040.html,"Anne Romby, Annick Combier",Milan (Editions)
22/02/2012,Le dragon du vent,http://www.decitre.fr/livres/le-dragon-du-vent-9782916899558.html,"Régine Joséphine, Marie Caudry",Chan-Ok (Editions)
22/02/2012,"Mon grand livre d'autocollants 3-4 ans. Les saisons, les fêtes, les aliments, la nature, la maison",http://www.decitre.fr/livres/mon-grand-livre-d-autocollants-3-4-ans-9782035870254.html,Larousse,Larousse
22/02/2012,"Mon grand livre d'autocollants 4-5 ans. A table, les plantes, les animaux, la ville, le quotidien",http://www.decitre.fr/livres/mon-grand-livre-d-autocollants-4-5-ans-9782035870230.html,Larousse,Larousse
22/02/2012,"Mon grand livre d'autocollants 5-6 ans. L'espace, les animaux, le quotidien, la nature, les objets, et plein d'univers à coller...",http://www.decitre.fr/livres/mon-grand-livre-d-autocollants-5-6-ans-9782035870247.html,Larousse,Larousse
23/02/2012,Ze vais te manzer,http://www.decitre.fr/livres/ze-vais-te-manzer-9782352411130.html,Jean-Marc Derouen,"[""Frimousse"", ""Jeunesse""]"
23/02/2012,Ava Tome 1 Ava préfère les fantômes,http://www.decitre.fr/livres/ava-tome-1-ava-prefere-les-fantomes-9782748511901.html,Maïté Bernard,"[""Syros"", ""E-book""]"
23/02/2012,Les ailes d'Alexanne Tome 2 Mikal,http://www.decitre.fr/livres/les-ailes-d-alexanne-tome-2-mikal-9782749915739.html,Anne Robillard,"[""Michel Lafon"", ""Grand Format""]"
23/02/2012,Radiance Tome 3 Au coeur des rêves,http://www.decitre.fr/livres/radiance-tome-3-au-coeur-des-reves-9782749915746.html,Alyson Noël,"[""Michel Lafon"", ""E-book""]"
23/02/2012,"Mortelle Adèle Tome 2 L'enfer, c'est les autres",http://www.decitre.fr/livres/mortelle-adele-tome-2-l-enfer-c-est-les-autres-9782848016924.html,"Mr Tan, Miss Prickly, Antoine Dole",Tourbillon
23/02/2012,Zombies Panic,http://www.decitre.fr/livres/zombies-panic-9782021071184.html,Kirsty McKay,Seuil
23/02/2012,A comme Association Tome 7 Car nos coeurs sont hantés,http://www.decitre.fr/livres/a-comme-association-tome-7-car-nos-coeurs-sont-hantes-9782070644407.html,Erik L'Homme,"[""Gallimard-Jeunesse"", ""E-book""]"
23/02/2012,Meuh non !. Y a pas que les vaches qui pètent et polluent la planète !,http://www.decitre.fr/livres/meuh-non-y-a-pas-que-les-vaches-qui-petent-et-polluent-la-planete-9782352411116.html,Catherine Lafaye Latteux,Frimousse
