0/pub_date,0/author,0/isbn,0/publisher,0/language,0/title,0/isbn/0,0/isbn/1
出版日期：2014/02/01,松橋利光,ISBN：9789862113806,出版地：台灣,語言：繁體中文,動物繪本日記2：和鳥兒一起睡午覺,,
,林美琴,ISBN：9789574903511,出版地：台灣,,教出國中生的閱讀力（十二年國教增訂版）(二版一刷),,
出版日期：2013/11/01,艾倫．史特拉頓,ISBN：9789862113998,出版地：台灣,語言：繁體中文,愛在蔓延中(二版一刷),,
出版日期：2014/09/01,辛西亞．佛特,ISBN：9789862114629,出版地：台灣,語言：繁體中文,心靈積木(二版),,
出版日期：2013/07/01,中江嘉男,,出版地：台灣,語言：繁體中文,鼠小弟的小背心,繪本要簡單不簡單，就是這樣才好厲害！ 文／菜小配2013年07月05日 每次編報時，推薦書只要選到繪本，就傷透腦筋了，明明知道這本書有趣，迫不急待想和父母分享，卻總在下筆時停頓許久，從上午十一點動筆，恐怕到下午五點才能寫出分享文，手指雖飛快地在鍵盤上敲敲打打，但也不過是key了就delete的運動，嚇嚇隔壁同事而已。繪本字這麼少，要寫成一篇分享文，實在很磨人， more,ISBN：9789862113776
出版日期：2014/05/01,楠　茂宣,ISBN：9789862114377,出版地：台灣,語言：繁體中文,我的願望：天天不挨罵,,
,蔡宜容/圖文,ISBN：9789862114605,出版地：台灣,,晉晉的四年仁班 (二版),,
出版日期：2014/02/01,竹田津實/著,ISBN：9789862114223,出版地：台灣,語言：繁體中文,丹頂鶴是壞蛋嗎？(二版),,
,馬克．布塔方/圖文,ISBN：9789862113912,出版地：台灣,,火車好多節！馬克．布塔方創意拼圖繪本,,
出版日期：2013/10/01,高樓方子,ISBN：9789862113943,出版地：台灣,語言：繁體中文,貍貓的水晶球,,
出版日期：2013/10/01,羅柏．寇米耶,ISBN：9789862113967,出版地：台灣,語言：繁體中文,我是乳酪,,
出版日期：2014/06/01,葛瑞格‧皮佐利/圖文,ISBN：9789862114414,出版地：台灣,語言：繁體中文,西瓜籽,,
,岩井俊雄/圖文,ISBN：9789862114407,出版地：台灣,,奇奇怪怪真奇怪,,
