title,sub_title,authors,page,publisher,pub_date,spec_1,spec_2,spec_3
"23 dingen om te doen voor je 11,5 bent",,Verkoop door bol.com,Memphis Belle,februari 2015,,"Productinformatie Soort Met illustraties Taal Nederlands Afmetingen 19x265x206 mm Gewicht 442,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9089413812 ISBN13 9789089413819","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle februari 2015
Ooggetuigen - De Titanic,,"[""Auteur: Simon Adams"", ""Verkoop door bol.com""]",Memphis Belle,november 2014,,"Productinformatie Auteur Simon Adams Soort Met illustraties Taal Nederlands Afmetingen 13x287x222 mm Gewicht 551,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9089413901 ISBN13 9789089413901","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Trefwoord(en) Geschiedenis , Ooggetuigen Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle november 2014
Ooggetuigen - Wereldwonderen,de piramiden van Gizeh Egypte,"[""Auteur: Tom Jackson"", ""Verkoop door bol.com""]",Memphis Belle,november 2014,,"Productinformatie Auteur Tom Jackson Soort Met illustraties Taal Nederlands Afmetingen 12x287x222 mm Gewicht 552,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9089414193 ISBN13 9789089414199","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Trefwoord(en) Ooggetuigen , Wetenswaardigheden Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle november 2014
Thomas Treinenrace,geluidenboek met flapjes,Verkoop door bol.com,Memphis Belle,oktober 2014,,"Productinformatie Soort Met illustraties Taal Nederlands Afmetingen 19x226x187 mm Gewicht 298,00 gram Geschikt voor 0 - 12 jaar Druk 1 ISBN10 9089413847 ISBN13 9789089413840","Je vindt dit boek in Categorieën Kind & Jeugd > Kind & Jeugd overig Trefwoord(en) Geluiden , Uitklapboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle oktober 2014
Maskerboek,coole partymaskers,Verkoop door bol.com,Memphis Belle,september 2014,,"Productinformatie Soort Met illustraties Taal Nederlands Afmetingen 7x316x252 mm Gewicht 232,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9089411534 ISBN13 9789089411532","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle september 2014
Mijn eigen poppenhuis,,Verkoop door bol.com,Memphis Belle,februari 2013,,"Productinformatie Soort Met illustraties Taal Nederlands Gewicht 472,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9089418806 ISBN13 9789089418807","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle februari 2013
Dora - uitdeelboekjes,24 uitdeelboekjes,Verkoop door bol.com,Memphis Belle,december 2012,,"Productinformatie Soort Met illustraties Taal Nederlands Afmetingen 58x104x104 mm Gewicht 495,00 gram Geschikt voor 1 - 3 jaar Druk 1 ISBN10 9089416307 ISBN13 9789089416308","Je vindt dit boek in Categorieën Kind & Jeugd > Baby- & Peuterboekjes Trefwoord(en) Uitdeelboekjes Leeftijd 1-2 jaar , 2-3 jaar",Nederlands Memphis Belle december 2012
Buurman & buurman - het grote woordenboek,,Verkoop door bol.com,Memphis Belle,oktober 2012,,"Productinformatie Redactie Manon Geuskens Soort Met illustraties Taal Nederlands Afmetingen 10x307x257 mm Gewicht 511,00 gram Geschikt voor 0 - 12 jaar Druk 1 ISBN10 9089418792 ISBN13 9789089418791","Je vindt dit boek in Categorieën Kind & Jeugd > Kind & Jeugd overig Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle oktober 2012
Ooggetuigen - dieren,,"[""Auteur: Tom Jackson"", ""Verkoop door bol.com""]",Memphis Belle,oktober 2012,,"Productinformatie Auteur Tom Jackson Soort Met illustraties Taal Nederlands Afmetingen 10x286x223 mm Gewicht 535,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9089418644 ISBN13 9789089418647","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Trefwoord(en) Dieren , Oogetuigen Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle oktober 2012
En de wonderlijke pompoen,,"[""Auteur: Valerie Thomas"", ""Verkoop door bol.com""]",Memphis Belle,augustus 2012,,"Productinformatie Auteur Valerie Thomas Illustrator Korky Paul Soort Met illustraties Taal Nederlands Afmetingen 9x286x222 mm Gewicht 380,00 gram Geschikt voor 0 - 6 jaar Druk 1 ISBN10 9089414428 ISBN13 9789089414427","Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden",Nederlands Memphis Belle augustus 2012
